INFO 2019-09-19 09:58:03,545 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 09:58:03,583 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-09-19 09:58:03,585 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-09-19 09:58:03,586 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-09-19 09:58:03,587 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-09-19 09:58:03,595 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-09-19 09:58:03,597 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-09-19 09:58:03,624 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,025 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 09:58:05,052 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,053 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,054 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,056 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,058 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,061 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-09-19 09:58:05,070 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 09:59:02,217 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 09:59:02,244 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-09-19 09:59:02,247 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-09-19 09:59:02,250 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-09-19 09:59:02,253 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
